DocumentPlenumSessionID,PlenumSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate,Unnamed: 0
129135,25091.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129135.doc,2010-06-03T06:56:10.87,
129136,25090.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129136.doc,2010-06-03T06:56:11.1,
129137,24897.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129137.doc,2010-06-03T06:56:11.323,
129138,24485.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129138.doc,2010-06-03T06:56:11.533,
129139,24483.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129139.doc,2010-06-03T06:56:11.743,
129140,24482.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129140.doc,2010-06-03T06:56:11.973,
129141,24074.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129141.doc,2010-06-03T06:56:12.167,
129142,24073.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129142.doc,2010-06-03T06:56:12.38,
129143,24072.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129143.doc,2010-06-03T06:56:12.583,
129144,23750.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129144.doc,2010-06-03T06:56:12.827,
129145,23374.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129145.doc,2010-06-03T06:56:13.043,
129146,23373.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129146.doc,2010-06-03T06:56:13.247,
129147,23334.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129147.doc,2010-06-03T06:56:13.43,
129148,23016.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129148.doc,2010-06-03T06:56:13.633,
129149,23015.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129149.doc,2010-06-03T06:56:13.853,
129150,23013.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129150.doc,2010-06-03T06:56:14.057,
129151,22477.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129151.doc,2010-06-03T06:56:14.273,
129152,22476.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129152.doc,2010-06-03T06:56:14.503,
129153,22475.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_129153.doc,2010-06-03T06:56:14.693,
