DocumentCommitteeSessionID,CommitteeSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate
312024,472070,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330515.doc,2016-04-08T10:15:31.497
312025,472069,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330516.doc,2016-04-08T10:15:34.503
312026,472442,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330517.doc,2016-04-08T10:15:37.473
312027,472813,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330518.doc,2016-04-08T10:15:40.347
312028,472817,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330519.doc,2016-04-08T10:15:43.67
312029,471642,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330520.doc,2016-04-08T10:15:46.75
312031,472866,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330522.doc,2016-04-08T10:15:53.227
312034,472973,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330525.doc,2016-04-08T10:16:03.29
312035,472403,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330526.doc,2016-04-08T10:16:06.397
312036,472907,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330527.doc,2016-04-08T10:16:09.427
312037,472898,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330528.doc,2016-04-08T10:16:12.43
312038,472973,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330529.doc,2016-04-08T10:16:15.69
312039,472983,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330530.doc,2016-04-08T10:16:19.037
312040,472982,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330531.doc,2016-04-08T10:16:22.257
312043,471657,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330534.doc,2016-04-08T10:16:31.407
312045,472092,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330536.doc,2016-04-08T10:16:37.18
312048,472435,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330539.doc,2016-04-08T10:16:46.153
312049,472435,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330540.doc,2016-04-08T10:16:49.267
312050,471749,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330541.doc,2016-04-08T10:16:52.387
312054,472442,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330545.doc,2016-04-08T10:17:04.853
312055,472429,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330546.doc,2016-04-08T10:17:08.017
312056,472403,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330547.doc,2016-04-08T10:17:11.127
312057,472403,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330548.doc,2016-04-08T10:17:14.223
312058,472872,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330549.doc,2016-04-08T10:17:17.487
312060,472075,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330551.doc,2016-04-08T10:17:23.447
312062,472078,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330553.doc,2016-04-08T10:17:29.687
312063,471546,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330554.doc,2016-04-08T10:17:32.483
312064,472602,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330555.doc,2016-04-08T10:17:35.433
312065,473184,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330556.doc,2016-04-08T10:17:38.403
312066,472879,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330557.doc,2016-04-08T10:17:41.423
312068,471619,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330559.doc,2016-04-08T10:17:47.387
312069,471715,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330560.doc,2016-04-08T10:17:50.387
311867,434161,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330358.doc,2016-04-08T10:07:17.973
311868,470358,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330359.doc,2016-04-08T10:07:20.92
311873,470474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330364.doc,2016-04-08T10:07:40.953
311875,470972,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330366.doc,2016-04-08T10:07:47.047
311876,470790,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330367.doc,2016-04-08T10:07:50.24
311877,470473,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330368.doc,2016-04-08T10:07:53.353
311878,470669,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330369.doc,2016-04-08T10:07:56.343
311879,471158,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330370.doc,2016-04-08T10:07:59.49
311880,471161,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330371.doc,2016-04-08T10:08:02.543
311881,470474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330372.doc,2016-04-08T10:08:05.68
311882,470479,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330373.doc,2016-04-08T10:08:08.71
311883,470476,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330374.doc,2016-04-08T10:08:11.8
311884,471473,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330375.doc,2016-04-08T10:08:14.807
311887,471474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330378.doc,2016-04-08T10:08:24.04
311888,471474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330379.doc,2016-04-08T10:08:27.07
311889,471474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330380.doc,2016-04-08T10:08:30.007
311890,471474,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330381.doc,2016-04-08T10:08:32.9
311891,471152,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330382.doc,2016-04-08T10:08:35.773
311892,471476,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330383.doc,2016-04-08T10:08:38.813
311893,471534,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330384.doc,2016-04-08T10:08:41.95
311894,470482,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330385.doc,2016-04-08T10:08:44.9
311898,434156,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330389.doc,2016-04-08T10:08:56.837
311899,434156,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330390.doc,2016-04-08T10:08:59.66
311900,435586,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330391.doc,2016-04-08T10:09:02.54
311901,470328,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330392.doc,2016-04-08T10:09:05.52
311902,470340,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330393.doc,2016-04-08T10:09:08.613
311907,470407,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330398.doc,2016-04-08T10:09:23.87
311908,470488,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330399.doc,2016-04-08T10:09:27.04
311910,470682,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330401.doc,2016-04-08T10:09:33.143
